,X,Object.ID,scan.name,LMA,Leaf.Area..cm2.,Leaf.mass..g.,SLA,Species,Location,Notes,Species_ID,GenePop_ID,SpeciesLoc_ID,Clone,sp_loc,genetic_name,Name,DA
1,174.5,394.75,"es-dry_00001, es-dry_00002, es-dry_00003, es-dry_00005",0.013797054,6.11,0.0843,72.47924081,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa01_DA,DryalaESA1,0.9864
2,178.5,449.5,"es-dry_00055, es-dry_00057, es-dry_00058, es-dry_00060",0.010254902,15.3,0.1569,97.51434034,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa10_DA,DryalaESA10,0.9696
3,182.5,455.5,"es-dry_00062, es-dry_00063, es-dry_00064, es-dry_00065",0.011569507,11.15,0.129,86.43410853,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa11_DA,DryalaESA11,0.943
4,186.5,468.5,"es-dry_00075, es-dry_00076, es-dry_00077, es-dry_00078",0.014118439,7.43,0.1049,70.8293613,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa13_DA,DryalaESA13,0.9332
5,190.5,484.5,"es-dry_00091, es-dry_00092, es-dry_00093, es-dry_00094",0.011788129,13.31,0.1569,84.83110261,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa16_DA,DryalaESA16,0.975
6,194.5,491.25,"es-dry_00097, es-dry_00099, es-dry_00100, es-dry_00101",0.012631048,9.92,0.1253,79.16999202,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa17_DA,DryalaESA17,0.9044
7,198.5,502.5,"es-dry_00109, es-dry_00110, es-dry_00111, es-dry_00112",0.012666667,8.1,0.1026,78.94736842,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa19_DA,DryalaESA19,0.918
8,202.5,401.25,"es-dry_00007, es-dry_00008, es-dry_00010, es-dry_00012",0.013053506,10.84,0.1415,76.60777385,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa02_DA,DryalaESA2,0.9344
9,206.5,510.5,"es-dry_00117, es-dry_00118, es-dry_00119, es-dry_00120",0.010258065,10.85,0.1113,97.48427673,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa20_DA,DryalaESA20,0.9538
10,210.5,522,"es-dry_00127, es-dry_00130, es-dry_00131, es-dry_00132",0.011180359,10.59,0.1184,89.44256757,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa22_DA,DryalaESA22,0.9264
11,214.5,527,"es-dry_00133, es-dry_00134, es-dry_00136, es-dry_00137",0.013108108,7.4,0.097,76.28865979,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa23_DA,DryalaESA23,0.959
12,218.5,539,"es-dry_00145, es-dry_00146, es-dry_00148, es-dry_00149",0.010573066,6.98,0.0738,94.5799458,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa25_DA,DryalaESA25,0.9558
13,222.5,545.75,"es-dry_00152, es-dry_00153, es-dry_00154, es-dry_00156",0.010634921,19.53,0.2077,94.02985075,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa26_DA,DryalaESA26,0.9742
14,226.5,551.75,"es-dry_00158, es-dry_00159, es-dry_00160, es-dry_00162",0.013284839,13.06,0.1735,75.27377522,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa27_DA,DryalaESA27,0.9906
15,230.5,563.5,"es-dry_00169, es-dry_00170, es-dry_00173, es-dry_00174",0.009664915,15.22,0.1471,103.4670292,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa29_DA,DryalaESA29,0.9232
16,234.5,568.75,"es-dry_00175, es-dry_00176, es-dry_00177, es-dry_00179",0.010159109,12.57,0.1277,98.43382929,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa30_DA,DryalaESA30,0.9568
17,238.5,580.5,"es-dry_00187, es-dry_00188, es-dry_00189, es-dry_00190",0.011075697,12.55,0.139,90.28776978,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa32_DA,DryalaESA32,0.9584
18,242.5,431.5,"es-dry_00038, es-dry_00039, es-dry_00040, es-dry_00041",0.021944444,6.48,0.1422,45.56962025,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa07_DA,DryalaESA7,0.962
19,246.5,443.5,"es-dry_00050, es-dry_00051, es-dry_00052, es-dry_00053",0.01234362,11.99,0.148,81.01351351,alaskensis,Eagle Summit,NA,DA,DA,DA_esa,No,DA_es,esa09_DA,DryalaESA9,0.907
20,2.5,124.5,"dryala-tm1_00003, dryala-tm1_00004, dryala-tm1_00005, dryala-tm1_00006",0.014419643,6.72,0.0969,69.3498452,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi01_DA,DryalaTM1,0.9944
21,6.5,176.5,"dryala-tm10_00055, dryala-tm10_00056, dryala-tm10_00057, dryala-tm10_00058",0.013012458,8.83,0.1149,76.84943429,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi10_DA,DryalaTM10,0.9802
22,10.5,184.5,"dryala-tm11_00063, dryala-tm11_00064, dryala-tm11_00065, dryala-tm11_00066",0.012755966,12.99,0.1657,78.3946892,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi11_DA,DryalaTM11,0.9804
23,14.5,196,"dryala-tm13_00074, dryala-tm13_00075, dryala-tm13_00077, dryala-tm13_00078",0.012911585,6.56,0.0847,77.4498229,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi13_DA,DryalaTM13,0.9918
24,18.5,202,"dryala-tm14_00080, dryala-tm14_00081, dryala-tm14_00083, dryala-tm14_00084",0.013064877,8.94,0.1168,76.54109589,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi14_DA,DryalaTM14,0.995
